29 71
0 3 2
19 0 13
0 18 1
0 12 1
24 0 13
14 0 17
3 1 2
1 4 8
1 18 17
22 1 18
5 1 14
1 11 3
2 10 16
22 2 3
2 11 11
27 2 1
2 14 1
12 3 3
3 9 4
3 5 9
25 3 20
3 7 11
4 20 19
25 4 15
26 5 8
6 18 7
6 10 13
16 6 4
6 11 9
12 7 5
9 7 2
7 8 19
21 7 8
7 17 14
25 7 13
7 13 2
7 26 3
18 8 20
21 8 16
17 8 1
10 18 9
10 15 12
25 10 13
10 14 11
11 28 2
12 19 18
27 12 15
12 17 8
13 24 2
16 13 3
13 27 11
13 17 19
26 13 8
15 14 15
27 15 12
16 22 17
17 24 15
21 17 11
21 18 11
27 18 11
18 26 13
19 25 11
20 23 17
20 25 17
24 21 5
21 22 13
28 22 20
22 27 15
23 28 20
23 25 15
25 24 14
5 6
