28 64
13 0 9
1 10 14
1 13 3
17 1 6
8 1 13
1 11 15
1 18 6
1 21 6
9 2 6
2 11 12
2 23 1
17 3 20
8 3 2
3 16 12
4 14 4
4 20 11
4 8 4
16 4 17
5 4 13
21 4 19
4 19 12
23 4 20
6 5 5
26 5 7
19 5 15
6 27 10
7 15 10
7 8 20
23 7 20
8 24 14
8 17 11
20 8 1
19 8 7
22 8 1
13 9 9
9 25 10
14 9 5
11 15 12
11 14 13
11 16 8
11 19 5
11 23 11
21 12 8
12 19 20
12 22 12
13 25 5
13 24 10
13 21 10
25 14 7
16 14 2
21 15 18
15 23 5
16 20 7
26 16 11
17 20 14
17 19 20
20 18 1
18 26 13
21 18 18
19 24 9
21 19 3
24 20 6
26 20 17
24 21 4
10 27
