27 63
20 0 5
0 10 4
21 0 19
1 10 13
4 1 2
1 13 5
7 1 4
1 14 1
1 3 20
2 11 8
21 2 2
3 8 13
3 12 4
5 3 19
3 21 18
4 23 1
25 4 2
12 4 11
15 4 19
4 14 14
16 5 7
5 25 3
5 24 18
13 5 6
11 5 10
5 21 5
6 9 6
7 6 18
6 11 3
14 6 15
7 16 8
24 7 5
7 13 2
17 7 5
9 8 19
8 20 19
9 12 18
10 19 8
10 18 11
10 24 8
19 13 1
13 20 2
25 13 10
13 21 3
13 14 17
14 26 4
19 14 16
14 16 14
16 19 16
18 16 10
16 25 6
16 17 17
17 21 3
18 19 20
18 24 13
20 19 7
24 19 14
20 21 20
21 22 5
26 23 16
26 24 15
24 25 10
25 26 19
23 22
