28 64
0 27 5
0 24 19
14 1 13
2 25 16
2 6 19
2 4 16
2 21 17
13 3 17
19 3 14
8 3 11
3 21 6
4 7 3
11 4 19
15 4 10
4 10 5
4 8 7
5 20 11
15 5 18
19 5 1
14 5 1
22 5 11
13 6 2
27 6 7
6 10 4
6 19 14
6 14 18
22 6 20
7 26 14
14 7 3
10 8 17
8 26 2
12 9 9
9 14 1
18 9 15
27 10 13
10 14 5
22 10 18
11 12 19
15 11 4
11 18 11
12 13 14
27 12 3
12 22 6
17 13 15
18 13 20
21 14 20
20 15 12
15 21 10
15 16 17
15 22 9
20 16 8
16 27 14
19 16 16
16 22 13
17 24 6
17 19 3
20 18 20
19 22 20
27 20 15
24 20 20
26 22 20
25 23 1
23 24 14
27 26 14
23 1
