25 69
8 0 18
17 1 17
1 15 7
1 19 15
12 1 14
1 2 6
1 9 12
1 20 12
2 19 20
18 2 16
12 2 2
23 2 19
6 2 6
2 7 9
9 2 12
8 3 6
19 3 15
22 3 12
11 4 1
15 4 16
12 4 15
22 4 12
8 5 11
5 17 6
21 5 17
5 15 8
9 5 7
8 6 16
6 24 13
19 6 20
7 6 3
14 7 20
7 24 9
15 7 11
18 7 18
21 8 15
13 8 5
19 8 18
9 11 18
9 17 15
10 9 16
18 9 10
10 11 3
10 19 3
10 23 18
16 10 4
10 20 17
11 17 9
11 24 1
15 11 7
20 11 3
14 12 2
19 12 19
20 12 16
14 17 12
14 21 4
14 23 20
16 14 13
15 21 1
16 21 20
21 17 17
17 24 11
20 17 12
18 19 3
18 23 9
18 20 4
23 19 6
22 19 5
20 24 3
9 16
