29 70
1 0 9
0 13 11
0 26 11
0 5 18
28 1 16
3 1 2
1 14 12
5 1 5
1 15 3
2 21 15
10 2 15
12 2 18
2 18 2
2 25 16
3 11 4
8 3 14
15 3 10
3 19 12
3 25 13
23 3 19
4 24 14
4 17 13
10 4 14
5 16 6
5 28 5
5 26 18
25 5 9
16 6 12
11 6 4
26 6 15
15 6 20
19 6 18
6 25 15
16 7 13
8 20 12
8 21 10
8 15 20
9 8 16
22 9 16
17 9 10
12 9 16
10 16 20
10 20 6
16 11 20
20 11 3
19 11 10
18 11 1
26 12 8
27 13 18
25 13 10
14 22 19
26 14 5
22 15 6
18 16 3
27 17 3
17 23 16
20 18 13
18 23 14
24 19 20
21 19 3
21 27 11
25 21 1
22 24 10
26 22 10
22 25 6
22 23 3
23 25 7
26 24 4
26 25 3
27 28 11
5 4
