29 69
28 0 3
0 10 5
19 0 6
21 0 15
2 0 19
1 8 13
1 19 1
13 1 7
5 1 16
2 8 14
12 2 19
6 2 11
2 5 3
23 3 6
3 15 13
18 4 17
4 28 5
4 13 10
4 20 8
4 5 4
5 18 16
22 5 14
8 5 18
5 28 5
5 10 13
13 5 18
21 5 15
16 6 15
6 12 13
10 6 3
9 6 16
19 6 9
6 14 4
16 7 4
7 25 10
21 7 15
8 10 15
8 9 3
13 8 19
28 9 1
9 14 11
9 21 17
10 18 4
10 25 3
26 10 20
10 20 18
10 11 20
11 26 6
17 11 16
24 12 18
12 20 17
19 13 9
13 17 1
14 22 17
25 14 5
19 16 15
16 20 13
17 22 16
17 21 14
23 18 11
19 22 11
19 26 14
25 20 17
20 26 2
27 20 11
20 24 16
22 25 1
23 27 7
26 28 12
9 15
