28 71
25 0 9
0 3 12
7 0 1
0 13 14
12 0 1
0 9 5
0 23 18
26 1 4
21 1 11
1 20 10
24 1 15
1 23 15
5 2 19
2 6 9
2 14 20
2 17 18
2 23 7
25 3 1
3 13 14
3 27 1
9 3 6
3 17 11
4 8 6
4 5 6
15 4 10
27 4 14
18 4 9
6 4 8
5 9 14
21 6 3
6 20 3
17 6 1
6 24 20
6 23 11
7 27 9
10 8 10
8 15 4
8 22 2
8 12 16
9 21 7
10 25 17
16 10 5
10 20 11
16 11 18
24 11 17
23 11 7
12 15 8
12 13 1
19 12 1
12 23 1
13 22 14
16 14 17
27 14 4
14 20 5
14 22 11
15 26 16
15 27 11
22 15 16
15 23 15
25 16 10
22 16 7
26 17 4
25 17 18
20 19 11
20 21 12
21 26 15
21 22 7
23 26 9
25 23 15
27 23 11
23 24 15
13 18
