28 66
0 14 10
8 0 14
23 0 16
0 13 10
0 19 19
1 25 5
9 1 8
13 1 8
16 2 13
2 22 6
2 13 18
3 25 3
3 18 3
8 3 1
3 7 12
3 26 13
4 8 4
9 4 5
16 4 10
27 5 2
5 20 9
8 6 14
9 6 13
19 6 18
6 11 4
8 7 13
7 9 6
7 16 5
12 7 18
8 17 4
8 10 2
9 8 1
8 16 2
22 8 18
18 9 8
9 10 12
9 22 20
9 27 20
9 20 20
9 24 6
10 25 1
10 27 19
20 10 8
21 12 5
12 25 14
16 12 16
22 12 1
17 13 11
13 15 10
18 13 18
13 16 15
22 13 20
15 18 16
16 15 3
15 23 3
15 27 7
24 15 4
26 16 6
18 17 12
24 17 2
27 18 18
19 18 18
19 22 2
19 27 5
20 27 5
26 24 15
5 21
