26 65
0 22 20
0 23 1
1 0 18
0 12 17
0 6 12
20 0 20
17 0 11
0 9 18
22 1 2
1 25 15
1 12 13
24 1 11
6 1 17
1 17 13
18 2 2
24 2 12
9 2 4
22 3 15
3 15 14
3 12 10
3 13 11
3 4 8
3 20 20
3 10 17
3 19 13
13 4 15
20 4 6
9 4 1
5 21 7
15 5 18
5 20 9
9 5 2
6 16 14
6 15 3
6 18 20
6 12 18
13 6 5
6 14 14
25 7 10
7 18 7
7 12 6
7 20 15
7 10 9
16 8 6
8 11 17
9 23 18
14 9 18
10 12 6
22 11 2
15 11 12
24 11 15
12 18 6
21 13 13
23 13 19
25 13 7
14 19 8
20 15 14
18 16 6
16 17 7
18 22 6
18 24 13
25 20 20
20 24 11
23 21 4
24 22 10
9 8
