30 65
0 17 15
14 0 15
0 23 7
1 29 2
5 1 19
27 1 11
1 24 18
1 4 11
21 2 20
17 2 13
14 2 19
4 2 16
21 3 2
9 3 9
29 4 9
4 8 14
4 12 18
21 4 4
4 28 18
9 5 12
5 24 6
13 5 18
28 5 13
10 6 2
7 21 20
14 7 19
24 7 1
7 18 6
29 8 2
8 19 10
25 8 4
8 18 16
8 26 17
23 8 6
20 9 1
14 9 2
18 9 14
9 13 3
9 15 17
11 10 13
10 26 14
28 10 15
11 29 18
11 12 11
26 11 6
12 22 8
13 21 12
14 13 9
13 22 4
25 15 6
16 29 20
16 25 7
18 16 4
17 27 6
20 18 16
24 18 9
19 27 1
20 28 3
21 25 15
26 21 10
29 22 1
22 26 13
27 24 14
24 26 9
29 28 9
17 6
