28 70
0 25 10
0 19 8
0 15 14
17 0 10
1 26 10
8 2 2
2 12 16
2 24 12
4 2 3
2 22 3
2 10 10
3 6 18
7 3 19
22 3 9
3 17 15
12 4 16
4 9 8
5 18 8
5 14 16
25 6 9
6 23 12
22 6 4
17 6 15
7 8 7
19 7 4
7 13 1
7 16 17
14 7 2
13 8 15
9 8 5
8 16 12
22 8 11
10 8 3
17 8 13
9 27 17
9 21 17
13 9 8
27 10 1
21 10 11
19 10 14
10 13 16
10 16 20
22 10 19
27 11 5
11 24 5
11 13 5
27 12 17
13 12 4
13 16 1
14 13 2
14 20 2
14 22 12
17 14 14
22 15 3
15 26 14
16 17 2
21 17 17
17 20 14
18 24 18
19 27 3
21 19 3
20 19 17
21 20 17
24 20 14
20 25 10
20 23 15
27 22 9
22 24 12
24 27 6
27 26 18
23 1
