39 119
7 0 13
0 27 14
36 0 18
37 0 17
0 20 17
17 0 20
26 0 8
38 0 9
15 0 19
0 16 17
28 1 2
1 7 16
21 1 1
1 34 12
2 28 11
2 8 19
13 2 13
17 2 2
6 2 19
2 19 4
2 10 8
3 27 1
3 18 11
3 24 4
35 3 18
23 3 10
14 3 19
3 34 5
4 11 16
4 24 7
13 4 15
5 4 7
20 5 1
5 13 3
5 19 3
6 37 17
6 23 18
29 7 20
7 18 16
7 37 4
13 7 1
7 38 9
35 8 9
8 23 10
22 8 6
11 9 15
9 17 20
9 35 19
9 22 2
9 15 9
10 29 9
27 10 16
10 18 11
26 10 6
23 10 1
10 16 18
11 28 18
27 11 13
11 14 9
19 11 17
37 12 2
21 12 1
12 26 7
12 16 5
28 13 7
30 13 14
13 18 16
31 13 18
13 34 7
14 30 20
14 18 19
14 37 20
14 38 6
15 18 5
15 33 4
15 23 11
29 16 4
16 36 7
21 16 13
23 16 18
24 17 17
35 17 15
17 19 3
30 18 15
18 29 11
23 18 10
19 36 8
26 19 1
34 19 3
20 37 10
24 20 17
28 21 16
29 21 4
21 27 8
26 21 13
23 21 19
38 21 18
30 22 18
34 22 4
23 29 15
37 23 15
26 23 15
23 33 6
24 35 16
34 24 3
32 25 10
25 35 10
26 28 17
26 38 19
28 33 16
28 38 4
34 28 16
36 29 9
33 29 15
30 31 20
30 35 4
38 30 17
31 33 6
34 33 11
12 32
