35 100
15 0 6
5 0 14
33 0 14
1 17 10
28 1 1
29 1 16
1 12 18
19 1 9
1 5 3
34 1 1
1 23 16
22 1 13
21 1 15
15 2 6
10 2 10
25 2 10
7 2 8
33 2 4
2 23 1
2 24 20
32 3 12
3 25 8
14 3 10
34 3 5
8 3 5
28 4 15
4 12 4
4 30 8
5 17 12
5 32 1
28 5 16
5 29 20
16 5 17
33 5 6
34 5 3
11 5 16
6 13 14
7 27 4
20 7 17
7 17 1
7 12 17
14 7 10
10 8 20
8 18 8
17 8 1
8 16 6
26 8 6
8 33 10
11 8 4
25 9 6
16 9 17
9 30 5
22 9 20
10 29 10
10 12 19
10 14 19
10 30 1
22 10 17
11 10 3
11 25 11
11 33 19
12 15 16
28 12 4
30 12 6
15 13 19
13 28 19
13 16 1
13 33 5
18 14 11
32 14 6
14 29 12
25 14 13
14 33 20
23 14 2
15 19 6
26 15 7
18 16 13
16 21 17
23 17 3
18 29 18
21 18 10
19 32 10
26 20 7
20 34 12
23 20 2
22 20 12
21 28 13
21 26 9
21 23 19
29 22 10
23 22 9
24 29 13
34 24 7
27 25 5
26 30 1
33 26 1
31 27 8
30 27 16
28 32 8
33 29 2
31 6
