31 101
0 29 19
0 11 11
0 7 2
4 0 13
0 28 18
20 0 13
0 22 12
0 8 1
15 0 3
29 1 4
1 11 1
6 1 8
1 18 6
14 1 3
29 2 9
2 11 4
6 2 16
28 2 17
2 13 17
2 15 17
3 23 14
29 3 8
6 3 7
25 3 18
3 18 14
3 27 2
20 3 2
4 24 19
4 30 8
6 4 13
4 7 4
4 28 11
13 4 17
4 20 7
4 26 14
5 25 8
9 5 17
22 5 20
6 10 7
6 7 3
13 6 16
27 6 19
6 8 7
6 14 20
7 19 20
18 7 8
7 13 10
7 12 8
7 27 4
22 7 6
21 7 16
26 7 8
8 13 4
9 8 18
9 10 7
9 19 15
16 9 13
9 27 1
22 9 15
9 15 6
29 10 9
27 10 13
10 20 3
21 10 1
24 11 10
11 29 18
18 11 14
21 11 11
29 12 3
24 13 14
13 29 14
13 14 12
14 23 1
14 26 5
24 15 15
15 27 7
20 15 8
16 29 16
16 17 10
25 16 2
20 17 3
30 18 17
18 26 9
19 29 19
19 25 16
19 27 5
19 21 19
20 24 19
20 27 10
23 21 9
21 25 11
28 21 10
22 30 6
26 22 15
23 25 5
28 24 18
24 26 20
26 29 5
30 26 11
27 26 13
30 27 2
5 1
