35 87
0 7 10
0 25 1
0 24 12
1 23 4
8 2 6
20 2 12
2 13 17
11 2 17
7 3 10
3 4 15
29 3 9
26 3 12
3 17 1
21 4 7
4 31 14
4 26 20
22 4 8
19 4 1
23 4 20
13 5 19
30 5 9
24 5 18
6 16 19
6 18 17
32 6 18
6 12 8
21 7 4
7 16 14
17 7 14
25 7 12
8 16 19
29 9 18
19 9 18
9 13 13
10 28 10
25 10 19
24 10 18
26 11 6
11 25 12
11 32 16
30 11 10
12 31 1
29 12 19
28 12 10
12 17 1
22 12 12
12 18 6
19 13 8
13 32 19
21 14 14
16 14 3
14 22 11
27 14 20
34 14 2
29 15 10
15 28 11
22 15 19
15 19 5
15 30 16
15 23 3
32 16 14
31 17 13
17 26 4
22 17 8
17 18 1
17 30 16
34 18 6
19 20 3
19 25 18
19 24 14
31 20 18
20 28 3
25 20 6
31 21 17
22 21 2
22 31 13
22 29 15
24 22 19
34 24 3
31 25 6
34 25 1
29 31 10
29 32 8
30 29 18
29 34 10
34 32 4
34 33 19
8 1
