38 122
0 10 9
17 0 2
32 0 4
5 0 4
0 19 11
0 30 16
35 0 20
0 16 4
4 0 12
0 29 14
20 0 2
10 1 10
24 1 1
32 1 6
1 11 16
31 1 7
27 1 9
17 2 6
2 24 5
2 35 8
2 4 13
2 29 19
3 24 16
9 3 1
4 3 17
23 3 11
20 3 4
4 15 20
10 4 9
4 11 13
4 18 9
4 13 19
5 6 2
10 6 7
24 6 3
32 6 4
30 6 12
37 6 1
6 28 7
6 22 9
7 15 3
32 7 4
7 30 19
13 7 10
35 7 10
7 29 16
8 30 1
18 8 10
35 8 1
31 8 13
9 32 8
11 9 16
9 30 3
37 9 10
9 28 18
9 31 7
34 9 5
15 10 2
10 36 17
34 10 9
22 10 1
19 11 2
36 11 8
11 18 2
11 25 17
11 29 9
12 37 8
28 12 5
12 25 1
29 12 11
23 12 13
12 20 13
13 21 2
13 37 20
13 31 3
14 37 14
14 25 16
14 31 19
14 22 13
23 14 3
15 24 8
18 15 5
25 15 17
15 23 14
15 26 13
36 16 12
31 16 19
16 27 11
17 21 17
24 17 7
17 19 16
17 18 10
17 34 4
32 18 16
25 18 2
29 18 11
36 19 15
21 24 15
21 36 5
21 34 19
27 21 3
33 22 6
35 22 9
33 23 18
32 24 13
36 24 5
26 32 16
33 26 5
26 28 7
31 26 9
30 27 3
35 27 7
27 31 8
30 28 20
28 35 19
28 31 8
29 35 2
34 29 20
30 34 19
34 31 5
37 32 7
35 33 4
13 20
