36 90
0 25 10
0 10 12
5 0 14
0 11 18
0 23 13
30 1 17
6 1 20
1 21 17
26 1 13
14 1 11
11 1 8
1 20 18
1 24 8
7 1 1
2 6 19
2 28 12
14 2 7
20 2 11
2 8 18
23 2 7
35 3 14
3 14 4
3 24 12
7 3 17
4 33 20
12 4 4
14 4 3
4 11 7
5 12 16
25 5 4
16 5 7
21 6 20
6 25 11
6 28 2
6 27 20
7 14 18
8 9 12
28 8 4
8 35 6
16 8 7
29 8 20
9 33 16
10 33 12
34 11 15
32 11 15
15 11 7
28 11 6
11 16 14
34 12 8
21 12 5
12 28 15
13 14 13
14 31 3
14 15 8
14 27 4
15 24 14
16 25 18
26 16 13
35 16 15
17 33 2
19 17 15
17 26 18
28 17 10
35 17 8
17 24 17
29 17 3
27 18 9
18 24 19
19 32 8
19 27 12
21 20 17
21 30 9
21 32 16
26 21 11
21 35 8
21 22 6
21 24 5
34 22 12
24 22 3
25 23 15
23 27 17
28 24 12
35 26 7
29 27 17
28 31 5
30 31 19
30 33 8
32 30 11
32 33 8
32 35 17
2 32
