31 93
0 11 13
28 0 18
0 19 1
20 0 18
4 0 3
21 1 5
1 28 10
1 2 12
6 1 12
1 3 13
1 17 7
2 21 12
28 2 15
19 2 13
2 14 5
20 2 4
2 24 5
2 12 11
3 18 1
8 3 19
3 20 9
3 4 3
15 4 9
19 4 16
25 4 14
4 18 5
4 8 20
10 4 6
5 15 1
5 29 8
5 7 20
19 5 5
6 5 12
5 8 4
5 13 15
6 19 13
6 10 9
13 6 11
23 7 10
7 14 20
7 9 19
25 7 6
7 26 4
22 8 12
8 25 12
12 8 5
18 9 9
9 24 9
10 30 20
11 10 10
28 10 16
10 22 3
10 24 5
10 26 14
10 13 17
21 11 2
30 11 18
19 11 1
20 11 13
11 24 15
12 23 14
12 29 11
12 19 19
22 12 20
12 20 20
13 28 18
21 14 17
14 15 10
14 28 4
15 27 16
15 29 11
15 22 9
16 23 16
18 16 8
21 17 9
17 20 17
27 18 5
18 29 19
22 18 9
18 25 1
29 19 3
22 19 8
20 29 18
20 22 19
21 27 4
22 23 6
29 22 14
28 22 18
24 22 3
26 22 2
27 23 4
25 24 8
28 29 15
30 16
