37 117
0 11 16
27 0 10
10 0 7
0 36 7
0 31 20
1 16 17
1 30 18
5 1 11
25 1 20
1 12 4
33 1 1
8 1 12
1 19 2
2 15 18
2 17 1
2 6 18
2 10 3
7 2 19
21 2 20
3 22 11
3 20 17
3 34 12
15 3 20
17 3 17
9 3 18
3 33 12
4 32 5
4 30 18
29 4 4
4 23 16
4 34 20
5 4 14
10 4 5
4 21 1
25 5 14
6 5 8
28 5 17
14 5 5
6 30 12
18 6 4
36 6 17
6 35 4
11 7 1
34 7 15
15 7 2
12 7 5
7 9 2
14 7 19
19 7 3
29 8 16
12 8 15
10 8 14
8 14 1
8 21 17
31 8 14
9 23 9
24 9 17
9 12 13
9 21 18
9 31 19
23 10 10
20 10 1
34 10 14
25 10 8
18 10 18
19 10 4
11 21 18
11 31 17
20 12 16
24 12 16
12 15 12
27 12 12
21 12 17
23 13 20
34 13 2
14 32 4
14 30 17
23 14 20
14 25 16
35 14 1
15 32 3
15 22 13
15 23 16
35 15 10
16 23 18
17 16 4
33 16 10
16 31 11
17 32 12
22 17 18
17 29 20
20 17 8
18 17 1
17 36 17
30 18 18
25 18 5
30 19 18
23 19 6
19 24 2
30 20 7
20 29 15
23 20 3
20 31 17
21 24 16
21 33 20
21 35 6
23 31 5
29 24 10
33 24 5
30 25 18
28 26 2
30 27 2
27 36 8
34 29 6
29 35 1
30 31 2
35 34 9
26 22
