37 145
31 0 9
0 26 8
0 33 20
0 29 5
0 7 13
0 2 19
8 0 19
1 0 13
23 0 8
0 36 13
0 10 18
1 31 9
1 35 4
8 1 5
1 17 1
36 1 9
1 15 12
31 2 1
2 6 5
34 2 19
2 25 9
2 28 4
26 3 4
19 3 4
3 33 12
3 29 12
3 6 15
18 3 13
3 34 19
3 8 11
3 25 6
13 3 7
7 4 8
24 4 13
14 4 16
16 4 10
9 4 9
28 4 17
5 11 20
33 5 19
35 5 10
5 6 17
5 14 13
5 21 14
5 36 3
6 11 16
6 8 17
21 6 13
34 7 7
7 8 16
7 32 17
12 7 11
7 9 11
34 8 19
8 36 5
8 28 5
8 15 9
33 9 4
9 18 3
9 24 11
36 9 15
9 13 8
28 9 20
10 11 14
33 10 7
10 22 9
10 14 13
25 10 1
26 11 13
14 11 19
11 34 18
11 27 12
31 12 10
14 12 18
17 12 5
12 32 18
33 13 20
13 35 3
13 22 5
20 13 6
17 13 18
21 13 20
13 32 8
16 14 11
28 14 16
31 15 11
15 17 13
15 32 6
16 26 5
16 29 20
16 24 9
17 16 18
16 21 10
19 17 17
29 17 19
17 30 12
24 17 9
25 17 4
17 36 14
28 17 13
31 18 6
30 18 6
18 22 16
18 34 14
19 30 4
25 19 19
21 19 18
19 23 9
19 27 12
20 26 11
29 20 19
20 30 15
20 25 2
20 36 15
21 31 20
29 21 15
30 21 13
22 21 20
21 34 5
21 28 3
22 33 10
22 25 1
36 22 19
22 27 9
33 23 5
23 29 6
34 23 11
23 36 12
24 26 12
30 24 6
24 27 19
35 25 4
25 32 10
26 29 16
32 26 4
26 36 6
30 27 16
27 34 20
27 32 3
28 30 16
35 29 5
34 29 1
30 35 1
32 36 11
34 33 9
7 30
