33 127
0 16 10
24 0 2
21 0 2
2 0 9
0 17 4
26 0 12
15 0 7
0 20 12
18 1 18
1 31 8
17 1 16
1 7 19
1 3 16
6 1 12
30 1 1
1 27 15
32 1 16
1 9 8
8 1 3
22 2 11
26 2 11
2 13 19
15 2 10
2 6 20
2 20 7
14 2 7
9 2 3
16 3 16
18 3 12
10 3 10
3 28 11
29 3 16
4 18 11
4 25 2
15 4 10
6 4 11
5 26 3
5 25 8
5 10 10
5 12 9
5 29 17
6 16 16
6 15 2
9 6 18
19 7 18
7 21 12
7 13 18
23 7 9
7 30 8
28 7 10
7 29 3
8 19 15
8 17 18
26 8 1
8 13 4
8 28 13
9 8 18
9 24 14
9 19 3
9 17 9
26 9 14
20 9 18
9 14 15
10 18 3
10 31 17
10 21 11
10 17 18
22 10 14
10 30 9
21 11 1
11 17 7
11 22 12
11 25 16
11 27 17
11 29 10
12 19 12
17 12 20
12 22 6
12 15 2
12 30 10
12 32 10
13 24 1
21 13 20
26 13 15
14 24 1
14 25 3
14 15 1
14 20 8
14 28 3
29 14 3
32 14 6
17 15 8
15 20 2
30 15 3
15 28 5
29 15 16
18 17 19
17 23 9
17 20 9
28 17 3
32 17 10
18 21 3
22 18 9
18 25 14
32 18 4
24 19 12
22 20 1
20 23 10
30 20 13
28 20 11
24 21 7
22 21 15
21 27 19
22 31 5
22 25 16
22 23 15
29 22 9
23 24 7
24 25 18
28 24 18
30 25 16
27 26 6
31 27 11
30 27 5
27 29 13
30 28 14
28 32 19
3 19
