33 90
0 31 17
0 22 16
0 13 15
25 0 18
24 0 16
0 7 20
17 0 7
29 0 6
1 12 6
22 1 5
5 1 1
1 18 11
28 1 14
2 5 15
2 21 1
8 2 17
2 30 6
17 2 19
2 14 6
22 3 8
25 3 10
23 3 11
10 3 16
24 3 11
19 3 11
4 6 14
4 26 14
4 27 17
15 4 12
16 4 4
19 4 15
5 10 13
15 5 10
5 29 17
22 6 15
25 6 16
23 6 13
6 7 15
6 27 18
6 9 3
7 31 15
12 7 12
20 7 9
7 9 20
7 28 12
8 32 11
8 14 15
28 8 17
9 16 16
10 23 12
24 10 6
10 20 9
12 11 8
27 11 9
11 14 8
32 12 11
21 12 8
16 12 15
20 12 19
27 13 7
29 13 4
14 25 2
24 14 4
32 14 20
26 15 5
16 31 14
27 16 11
29 16 12
17 27 1
17 19 12
18 31 7
18 26 9
20 18 3
29 18 20
23 19 20
32 19 13
19 27 1
20 31 2
20 22 8
20 23 1
21 31 2
22 21 5
23 26 17
31 24 7
26 24 1
24 29 8
25 26 4
27 25 1
31 26 6
29 32 10
9 30
