39 152
0 38 6
0 28 7
6 0 4
0 34 18
0 29 1
1 13 7
1 32 9
1 23 16
34 1 3
1 37 7
1 9 3
36 1 11
12 1 18
1 33 2
35 1 13
38 2 20
28 2 1
19 2 17
2 10 15
2 18 10
38 3 18
3 24 14
4 3 12
36 3 11
12 3 5
3 33 11
14 3 2
17 4 17
28 4 11
4 22 16
4 8 19
4 21 4
32 4 8
23 4 7
37 4 20
4 25 20
4 36 13
4 26 9
16 4 12
5 11 3
10 5 16
24 5 12
36 5 14
5 16 14
17 6 9
23 6 4
6 34 1
7 17 17
7 13 18
7 37 4
7 9 7
7 25 5
36 7 20
27 7 17
7 16 4
7 18 3
38 8 17
11 8 8
13 8 7
8 23 18
8 36 7
26 8 19
11 9 5
9 20 8
10 9 2
9 13 18
25 9 5
9 27 5
15 9 14
14 9 14
38 10 8
28 10 5
19 10 13
10 30 9
10 22 14
10 36 3
30 11 19
22 11 17
11 13 14
21 11 3
29 11 12
14 11 9
22 12 15
24 12 20
32 12 14
29 12 7
31 12 11
12 35 10
12 14 7
13 29 10
13 36 15
14 17 11
15 37 12
26 15 4
15 16 5
16 23 17
37 16 11
16 31 17
16 18 15
27 17 1
35 17 15
18 38 14
18 28 9
18 32 19
29 18 10
18 36 9
20 38 9
20 30 17
20 22 1
32 20 10
23 20 12
34 20 18
20 35 18
21 30 19
22 21 15
21 32 18
23 21 6
21 34 12
29 21 9
27 21 4
33 21 10
22 38 18
22 29 4
23 30 12
23 24 19
32 23 3
24 34 10
24 37 1
24 25 10
27 24 7
25 31 6
25 35 12
26 32 14
36 26 6
33 26 13
27 36 4
27 33 5
28 38 3
28 30 3
28 37 17
32 29 13
35 30 19
38 31 3
31 32 12
36 31 17
32 38 15
32 36 6
33 38 1
33 35 13
34 38 9
37 35 16
35 36 13
19 17
