29 80
0 8 10
3 0 8
4 0 11
12 0 15
27 0 13
18 0 12
22 0 16
28 0 15
2 0 20
1 24 10
1 21 8
4 1 15
16 1 1
1 27 15
1 22 9
1 2 8
2 8 6
3 2 10
4 2 15
16 2 14
26 2 19
2 18 2
2 10 3
9 2 11
2 28 13
2 19 3
2 23 2
8 3 17
13 3 4
14 3 7
14 4 3
4 20 11
19 4 17
4 5 9
5 8 4
12 5 18
5 13 18
20 5 7
6 21 19
6 12 16
16 6 9
17 6 8
22 6 10
7 24 14
12 7 11
7 27 11
7 20 4
7 10 17
12 8 5
20 8 19
9 18 19
10 15 14
21 10 7
23 10 3
25 11 13
12 13 3
24 13 14
16 13 1
13 26 13
18 13 14
14 15 1
25 14 17
14 28 5
23 14 7
15 21 11
21 17 9
25 17 18
17 22 11
17 19 12
19 18 4
24 20 6
20 26 9
21 23 14
27 22 1
23 24 12
27 23 3
23 26 1
24 26 9
24 28 10
28 26 17
9 11
