29 67
11 0 10
0 5 2
0 20 10
0 25 12
22 1 6
20 1 14
26 1 2
5 2 19
24 2 2
3 22 11
3 23 15
20 3 13
6 3 16
3 7 16
9 3 8
3 15 3
4 13 6
12 5 16
28 5 13
5 6 7
19 6 8
13 6 16
6 11 13
6 12 15
28 6 11
20 6 4
7 6 2
6 26 9
7 19 5
23 7 2
28 7 16
24 7 8
9 7 15
18 8 14
10 13 18
21 10 2
10 25 3
10 16 16
15 10 12
23 11 3
11 28 17
20 11 9
17 12 13
13 12 8
12 21 18
12 27 19
21 13 15
24 13 12
14 18 14
16 15 4
16 21 14
27 16 3
17 19 5
22 18 13
21 18 13
18 26 15
23 20 12
25 20 12
20 26 6
25 21 1
26 21 19
22 23 20
22 27 3
22 24 2
25 24 11
26 28 7
28 27 15
16 2
