28 71
0 9 13
24 0 17
0 11 8
22 0 6
6 0 19
7 0 16
14 0 7
5 0 16
0 2 9
1 19 18
1 23 6
1 13 19
2 27 5
5 2 17
2 12 12
19 3 8
11 3 20
12 3 15
4 11 13
4 21 17
27 4 7
12 4 18
20 4 9
13 4 17
22 5 16
27 5 16
15 5 9
13 5 18
14 6 9
15 6 16
22 7 4
7 8 18
20 7 1
18 7 11
8 13 1
20 9 18
10 23 8
17 10 17
15 10 13
22 11 17
21 11 8
12 22 20
12 26 13
12 20 19
18 12 6
13 21 12
13 20 15
14 24 13
14 26 9
20 14 9
18 14 19
15 19 18
15 22 20
17 15 3
16 23 16
26 16 12
16 20 15
22 17 6
23 17 16
26 17 18
17 18 19
18 27 5
23 18 11
18 26 4
20 22 15
20 27 14
20 26 7
23 22 6
25 22 19
26 24 1
27 26 16
24 1
