30 86
8 0 4
0 11 11
6 0 11
12 0 15
0 23 9
0 14 9
28 0 6
0 15 1
0 7 10
5 1 13
17 1 7
13 1 12
1 16 2
1 24 20
11 2 8
2 22 9
23 2 5
25 2 9
7 2 18
3 19 6
3 6 18
3 23 17
3 24 2
15 3 8
8 4 11
4 9 9
13 4 12
4 26 1
4 6 3
15 4 13
4 20 10
19 5 3
13 5 14
27 5 9
5 22 15
5 16 11
5 23 10
5 14 16
6 10 14
11 6 1
6 29 9
6 20 9
10 7 12
7 18 13
7 28 8
7 21 4
24 7 9
25 7 8
8 9 11
17 8 13
8 13 14
18 8 12
21 8 2
14 9 18
18 9 12
10 11 19
10 17 2
16 10 6
10 21 8
10 15 6
11 17 16
26 11 11
18 11 7
27 12 7
16 12 11
14 12 20
12 20 18
13 27 7
13 16 2
15 16 6
15 24 11
16 19 14
16 21 3
17 29 2
28 18 14
22 19 1
19 28 12
20 29 7
20 28 20
21 24 2
26 23 13
27 23 14
25 23 20
24 27 5
27 25 7
28 29 15
25 15
