25 65
0 20 4
0 4 6
0 24 14
0 10 12
15 0 20
14 0 5
11 1 3
1 15 5
19 1 8
1 7 6
2 22 10
2 21 16
2 4 14
2 10 5
2 13 13
12 2 8
2 6 8
22 3 17
3 4 18
15 3 8
23 3 18
3 7 9
14 3 19
22 4 1
24 4 17
11 4 5
4 10 8
5 4 3
4 6 2
11 5 7
15 5 17
7 5 8
5 12 4
5 14 16
6 19 3
6 13 8
14 6 12
7 8 2
7 20 15
11 7 4
8 20 6
8 13 14
8 18 3
9 19 4
22 10 12
12 10 8
18 10 7
21 11 8
15 11 16
11 16 14
11 13 10
12 11 19
11 18 13
17 11 7
12 22 5
22 13 19
21 13 17
14 20 15
15 22 6
15 21 4
15 17 5
22 16 14
17 21 20
20 17 1
20 19 20
23 9
