29 105
21 0 4
0 16 4
25 0 6
28 0 11
0 17 5
0 1 13
8 0 3
0 12 15
0 9 17
3 0 19
1 25 13
17 1 11
14 1 19
7 1 12
18 1 14
2 21 20
2 15 12
25 2 17
2 22 18
14 2 9
18 2 19
9 2 6
2 3 10
4 2 13
3 21 5
24 3 14
3 22 8
7 3 9
18 3 7
6 3 19
4 3 17
4 25 15
28 4 4
4 17 6
4 14 2
4 26 5
4 10 3
5 27 4
5 7 2
5 26 16
20 5 15
15 6 11
6 25 12
6 14 10
20 6 12
24 7 19
7 19 19
7 27 14
26 7 13
20 7 4
7 9 17
7 13 14
11 8 19
14 8 1
8 12 17
8 26 11
10 8 13
8 18 18
16 9 7
9 25 14
9 27 18
22 9 15
16 10 11
24 10 4
10 17 5
10 27 8
12 10 15
10 20 14
21 11 12
11 12 8
12 17 20
12 27 3
14 12 14
13 28 2
13 26 3
13 20 6
25 14 9
14 28 13
14 23 15
18 14 5
16 15 1
15 24 20
19 15 7
27 15 19
22 15 10
16 24 16
17 16 10
22 16 17
16 18 7
24 17 3
27 17 1
17 22 12
24 18 11
18 28 3
20 18 9
20 19 19
20 25 3
20 23 4
20 22 3
23 21 1
21 26 13
23 22 4
23 28 13
28 25 5
26 25 16
8 22
