24 68
9 0 8
2 0 18
20 0 12
15 0 13
0 11 10
0 18 14
12 1 3
1 19 19
1 21 4
20 2 8
8 2 7
23 2 19
14 2 1
22 2 20
2 21 12
3 5 10
3 9 13
3 10 11
6 3 10
16 3 11
3 4 4
4 8 14
23 4 13
16 4 9
7 4 14
4 22 4
4 11 7
4 17 2
5 10 11
6 5 3
5 15 3
5 11 20
19 6 17
23 6 4
22 6 19
6 11 6
7 20 9
7 15 8
11 7 11
7 21 10
8 20 1
15 8 13
22 8 10
8 11 1
8 18 3
19 9 11
9 21 18
20 10 10
23 10 10
23 11 1
13 12 10
20 12 2
16 12 13
22 12 18
13 20 17
23 13 5
13 22 2
18 13 7
14 19 3
17 14 2
15 23 11
15 16 17
16 19 13
17 22 18
18 20 12
18 21 8
21 19 4
21 20 20
6 2
