30 89
0 9 14
29 0 19
1 0 9
5 0 2
0 26 2
1 3 9
1 9 18
1 17 10
5 1 1
1 24 2
1 21 19
1 20 9
16 2 3
2 25 4
2 21 11
29 3 3
26 3 5
7 3 10
3 15 1
13 4 5
27 4 18
4 5 4
4 15 3
4 20 7
28 4 1
5 9 3
29 5 10
5 8 3
5 11 7
6 25 8
6 12 2
27 6 2
8 6 9
11 6 20
18 6 9
15 6 7
7 22 13
7 19 17
25 7 9
7 12 4
7 14 17
8 20 10
9 13 13
9 10 15
17 9 13
27 9 18
24 9 18
14 9 14
9 15 9
10 19 3
10 16 8
23 10 10
10 27 9
10 24 19
10 26 20
11 23 17
27 11 9
11 20 13
12 29 9
23 12 1
28 12 1
19 13 17
25 13 10
13 24 5
24 14 16
14 20 14
21 15 15
26 15 18
23 16 14
16 26 14
16 28 6
17 27 5
20 17 13
22 18 1
19 18 2
23 18 2
24 18 16
18 20 16
19 21 10
20 19 2
20 21 9
22 21 4
21 29 8
25 21 16
28 21 3
29 22 12
23 22 18
22 25 8
25 23 10
22 4
