27 63
0 3 9
0 22 6
0 26 5
0 17 17
22 1 10
21 1 3
8 1 6
15 1 6
1 2 13
13 1 5
3 2 13
2 7 6
2 25 10
11 3 2
20 3 19
3 4 16
3 10 20
25 4 15
16 4 5
24 5 10
5 6 12
26 5 11
13 5 16
5 10 3
22 6 16
21 6 19
9 6 5
6 26 10
6 20 18
6 12 7
18 7 13
13 7 10
7 25 1
7 16 14
8 15 13
8 14 6
8 12 16
9 14 5
19 9 16
10 22 11
10 24 11
10 20 2
23 11 4
26 11 12
17 11 4
16 11 13
24 12 13
16 12 8
13 18 11
17 13 15
16 14 8
23 15 15
15 18 14
21 16 12
16 26 6
20 16 2
26 17 7
18 23 12
21 18 16
19 26 13
20 19 8
25 21 12
23 22 12
3 14
