28 77
6 0 12
27 0 13
0 24 19
0 16 9
9 0 13
0 7 10
0 18 6
1 17 7
21 1 2
1 24 16
16 1 20
12 1 10
25 1 19
1 15 7
7 1 18
1 11 19
3 2 3
12 2 3
2 9 7
17 3 2
13 3 9
3 21 8
3 23 9
3 14 3
15 3 1
9 3 4
3 20 3
6 4 10
4 13 3
4 11 10
5 4 11
5 13 1
5 10 10
18 5 7
6 27 17
6 16 17
12 6 20
7 6 5
6 18 7
7 27 3
7 10 6
7 9 5
8 13 4
25 8 9
20 8 18
10 9 15
16 9 20
10 12 6
10 20 9
11 17 6
11 27 16
11 23 15
11 24 12
25 11 14
11 20 14
19 11 10
18 11 20
12 15 4
20 12 20
24 13 14
13 25 6
20 14 10
15 17 7
15 24 5
25 16 1
16 20 1
26 17 6
17 19 1
18 23 13
18 20 19
23 19 12
21 20 20
21 23 4
26 22 4
27 23 19
24 26 18
26 25 1
10 22
