36 122
2 0 7
35 0 6
0 16 1
0 18 14
0 21 11
0 22 16
0 10 18
1 24 15
1 12 7
16 1 5
17 1 2
5 1 16
9 1 18
4 2 2
2 22 5
3 21 6
3 6 10
4 29 7
5 24 2
5 33 20
5 26 5
5 27 5
5 14 1
5 9 19
20 5 2
22 5 6
10 5 19
33 6 8
27 6 19
16 6 12
8 6 6
22 6 3
6 11 5
6 10 17
7 28 10
27 7 16
7 35 5
16 7 19
7 30 16
32 7 13
20 7 10
7 22 17
8 28 10
8 24 19
16 8 18
17 8 14
8 32 7
33 9 20
16 9 2
9 18 11
31 9 5
15 9 5
11 9 13
9 34 18
19 10 15
10 33 18
16 10 6
11 10 11
28 11 9
26 11 13
11 21 2
31 11 9
11 22 1
27 12 18
12 35 14
12 25 13
12 30 9
21 12 9
13 12 5
13 19 10
13 24 3
26 13 9
35 13 2
13 15 2
19 14 1
14 27 9
14 32 18
15 28 1
15 27 10
15 17 12
34 15 15
16 26 6
35 16 19
16 17 4
17 19 8
27 17 11
25 17 1
30 17 16
17 22 18
24 18 2
33 18 14
20 18 17
28 19 5
26 19 10
21 19 2
19 31 3
34 19 4
20 27 3
25 20 9
34 20 13
21 27 1
21 34 14
22 28 15
22 33 6
27 22 9
22 35 11
25 22 10
30 22 12
23 24 2
23 31 4
23 34 8
33 24 5
26 24 13
25 24 13
24 30 4
35 25 9
26 35 15
28 27 7
27 30 9
34 27 8
30 32 9
35 32 19
23 29
