39 135
0 12 15
0 34 8
14 0 8
31 0 17
0 17 11
0 37 6
2 1 2
34 1 13
9 1 8
1 19 15
14 1 2
1 32 3
1 22 16
17 1 15
1 37 12
2 35 14
2 34 19
19 2 14
14 2 2
32 2 19
30 2 6
3 23 14
27 3 3
14 3 2
3 8 7
4 3 20
15 4 10
14 4 20
33 4 3
4 32 3
10 4 18
21 5 16
5 32 18
5 8 5
24 5 1
10 5 13
29 6 1
6 15 4
38 6 6
7 6 4
16 6 16
17 6 13
36 6 16
7 38 4
7 33 5
7 31 12
7 22 12
15 8 9
8 21 18
33 8 16
8 31 11
8 10 10
29 9 9
9 38 18
9 34 19
21 9 9
18 9 20
9 22 1
9 25 15
37 9 9
10 35 10
15 10 13
10 27 19
10 31 7
10 28 4
36 10 13
11 15 9
11 23 20
11 34 6
11 21 19
33 11 7
14 12 9
12 31 9
12 32 2
12 18 1
13 34 11
26 13 2
20 13 9
38 14 14
23 14 2
18 14 17
14 22 19
26 14 16
34 16 13
33 16 9
22 16 4
16 36 9
17 23 13
17 33 2
17 25 4
30 17 9
35 18 17
21 18 12
33 18 12
19 35 11
19 32 7
19 26 20
25 19 16
37 19 8
34 20 9
22 20 18
20 25 9
36 20 7
21 34 1
26 21 2
21 30 1
22 35 5
22 31 15
32 22 19
31 23 14
23 32 10
23 28 9
23 25 10
24 33 3
37 25 15
36 25 4
26 28 14
37 26 5
27 33 15
32 27 11
27 30 18
29 28 13
28 31 16
37 28 18
36 28 12
35 30 1
30 38 17
30 33 16
35 31 11
31 33 1
31 37 18
38 32 11
35 34 9
35 36 18
36 37 7
13 24
