34 95
15 0 3
6 0 7
0 24 8
6 1 18
33 1 14
1 26 14
20 1 12
1 8 16
1 14 14
28 1 1
1 23 14
30 1 14
31 2 7
17 2 12
2 7 16
4 2 20
13 2 15
3 2 11
3 20 4
11 3 18
3 4 20
23 3 11
27 3 11
6 4 16
26 4 3
4 18 15
10 5 8
31 5 7
26 6 4
20 6 17
6 14 3
6 13 19
7 26 16
7 20 18
8 7 1
13 7 3
7 12 10
20 8 12
8 31 1
8 28 4
8 22 10
25 9 7
26 9 9
10 9 10
24 9 10
16 10 10
10 33 15
28 10 18
11 32 13
24 11 14
29 11 5
11 30 15
33 12 6
12 24 11
12 23 16
13 20 8
13 24 19
13 28 5
14 16 4
25 14 18
26 14 11
32 14 8
21 14 16
16 15 5
20 15 17
15 19 10
15 17 10
27 15 15
16 25 7
16 31 3
22 16 14
17 33 7
18 17 20
17 29 16
17 27 16
31 18 10
18 29 9
27 18 6
19 26 15
20 19 12
19 21 2
23 19 12
33 20 8
29 21 3
21 27 20
23 24 7
28 23 2
24 29 2
32 25 1
30 25 20
27 25 5
26 33 12
27 30 7
29 31 11
32 30 13
15 28
