37 95
0 18 17
0 7 4
2 0 6
1 25 4
14 1 2
1 3 14
1 10 9
35 1 14
23 2 17
2 11 19
2 18 14
2 19 15
30 2 14
29 2 5
2 35 1
11 3 4
24 3 15
3 15 20
17 3 9
12 3 8
5 4 15
16 4 12
15 4 4
36 4 4
21 4 17
5 18 9
16 5 3
5 30 16
17 5 8
8 5 7
11 6 6
6 25 14
6 18 19
14 6 17
6 20 16
6 26 16
6 29 5
7 11 5
7 24 4
7 14 5
31 7 13
8 30 10
32 9 8
9 16 9
9 22 5
10 35 10
14 11 5
11 30 4
11 13 15
12 11 15
12 29 10
25 13 14
24 13 15
29 13 13
27 13 4
14 18 15
19 14 2
20 14 9
14 27 11
14 21 6
16 15 19
15 30 3
29 15 7
16 34 13
16 36 1
16 28 17
17 23 4
17 30 14
17 35 4
24 18 3
19 23 9
19 34 18
19 24 12
30 19 6
19 29 20
20 34 13
20 24 6
21 31 17
35 21 12
30 22 8
22 31 15
29 22 13
22 35 10
24 26 16
24 28 4
25 32 15
25 35 18
26 30 1
27 34 13
30 27 7
29 27 2
35 28 2
30 34 7
32 31 18
36 33 9
7 4
