31 63
21 0 4
24 0 15
13 0 19
0 30 11
1 27 2
18 1 7
9 1 16
27 2 8
2 21 8
22 2 4
24 3 13
4 6 3
14 5 12
8 5 1
5 22 8
6 27 19
6 20 5
6 12 1
18 6 1
23 6 11
9 6 14
6 26 15
7 22 19
8 23 15
8 10 18
9 11 12
20 9 20
21 9 6
16 9 8
11 10 13
10 12 4
13 10 8
28 10 10
27 11 11
25 11 4
18 11 1
19 11 6
11 23 4
12 18 5
15 12 19
13 19 7
27 14 5
30 14 19
14 17 7
18 15 10
15 23 5
15 29 6
25 16 4
16 19 2
16 23 9
16 26 11
19 26 9
25 20 16
20 21 6
20 28 11
28 21 10
21 30 9
22 21 7
23 22 13
24 25 3
30 24 12
29 26 20
28 30 5
13 4
