36 91
8 0 10
0 31 7
0 33 2
15 0 4
26 0 15
0 1 1
0 17 19
18 0 5
2 0 16
29 0 4
2 1 17
34 1 16
2 12 14
27 2 15
2 24 9
3 22 15
3 12 18
3 5 19
14 3 19
21 4 2
34 4 20
5 31 1
5 15 2
6 12 3
6 27 5
21 6 17
9 7 8
18 7 6
7 29 6
7 14 17
25 8 8
19 8 8
18 8 4
32 8 2
9 28 20
25 9 16
9 32 20
9 34 18
13 9 18
22 10 3
28 10 7
10 20 9
10 21 1
30 10 16
13 10 13
28 11 12
20 11 20
11 24 14
28 12 15
33 12 15
18 12 10
12 14 5
34 12 3
30 12 3
33 13 12
17 13 6
34 14 13
16 15 2
34 15 4
16 22 3
21 16 10
28 17 10
20 17 4
17 18 19
29 17 15
22 18 6
28 18 8
18 26 8
19 27 10
23 19 19
19 32 18
30 19 3
26 20 10
20 30 13
28 21 12
34 22 3
23 25 3
24 28 12
24 26 12
24 25 4
34 24 10
24 30 1
25 26 3
25 34 7
28 27 18
33 29 19
35 29 20
29 34 19
31 30 18
34 32 20
34 35 6
2 22
