34 79
8 0 5
25 0 10
0 18 2
12 0 5
19 0 2
30 0 15
20 0 12
0 1 13
0 27 3
24 0 11
25 1 10
7 1 7
30 1 8
1 29 20
12 2 4
2 7 8
21 2 7
2 29 15
3 15 16
4 10 10
4 29 9
4 22 19
5 18 6
5 21 4
5 9 7
26 5 13
24 5 11
5 23 18
6 33 16
6 32 4
17 7 6
26 7 1
27 7 20
7 31 13
28 8 2
8 19 15
11 8 15
8 20 9
13 9 19
14 9 15
26 9 13
32 9 18
31 9 17
9 29 17
25 10 11
26 10 7
32 10 12
11 17 20
11 20 12
23 11 8
11 15 8
16 12 13
13 22 4
14 31 6
14 22 14
15 17 13
16 17 9
16 30 11
16 27 1
22 16 18
22 17 7
18 28 7
18 33 13
33 19 1
21 19 14
19 32 9
19 22 3
20 22 17
26 21 13
21 27 19
30 22 15
22 31 7
23 26 16
24 23 7
23 31 17
24 28 12
25 33 8
25 29 10
31 29 3
6 3
