33 124
0 7 1
12 0 12
20 0 5
0 5 16
0 28 3
0 26 11
0 25 20
0 3 2
29 0 12
24 0 12
9 1 18
2 1 13
17 1 15
1 26 5
1 31 3
1 32 7
1 19 15
27 1 3
1 15 13
18 1 8
7 2 16
16 2 6
28 2 16
31 2 7
2 32 11
2 13 8
2 19 14
15 2 10
2 10 7
7 3 16
9 3 1
3 17 6
3 29 19
3 4 19
12 4 16
14 4 2
4 13 20
25 4 17
29 4 3
5 16 10
23 5 20
9 5 12
11 5 15
29 5 15
5 6 1
5 24 12
6 21 6
28 6 15
17 6 7
11 6 5
6 32 6
6 13 12
6 22 20
7 21 10
16 7 18
7 28 4
7 11 4
7 18 9
8 12 5
20 8 8
31 8 7
8 13 6
19 8 18
9 12 15
16 9 11
17 9 18
9 26 9
9 29 6
9 22 18
10 17 7
14 10 18
14 11 11
11 32 8
11 19 8
11 29 7
11 15 15
24 11 20
12 20 17
12 13 11
12 25 4
12 15 15
22 12 19
13 20 8
28 13 20
31 13 11
13 24 4
28 14 12
15 23 17
15 28 17
29 15 6
15 22 8
16 26 15
19 16 4
25 16 10
17 25 20
18 31 20
18 19 1
22 18 11
19 20 8
26 19 15
19 25 18
19 29 2
28 20 7
26 20 12
20 31 12
20 32 7
29 20 8
26 21 9
21 31 1
21 32 3
21 24 15
28 23 11
23 32 7
30 24 17
24 28 1
24 32 10
24 29 12
25 28 13
25 31 7
26 30 10
28 30 14
28 32 12
30 29 8
31 32 4
4 27
