35 114
0 32 1
0 34 2
1 25 19
10 1 15
1 11 15
1 8 12
1 16 2
1 12 5
1 29 5
1 32 12
1 23 18
7 1 1
15 1 19
16 2 10
26 2 5
2 29 4
2 32 12
2 23 19
7 2 8
14 2 14
24 2 1
3 4 1
5 4 9
15 4 15
4 28 14
20 5 19
5 8 2
6 5 19
9 5 20
5 33 16
5 21 8
5 31 17
5 27 11
8 6 12
6 34 1
21 6 12
15 6 12
10 7 7
11 7 15
7 19 8
7 14 8
8 10 18
8 33 14
8 14 6
8 24 17
8 18 14
10 9 2
11 9 10
9 26 1
9 17 17
19 9 11
23 9 7
21 9 18
18 9 11
9 27 2
10 20 4
30 10 9
22 10 2
26 10 11
29 10 12
10 31 12
10 28 15
10 24 5
27 10 8
13 11 11
25 11 5
32 11 5
11 34 13
27 11 9
22 12 19
33 12 16
12 15 16
20 13 2
22 13 20
13 17 12
13 31 17
28 13 13
13 18 13
27 13 13
22 14 12
14 32 5
21 14 2
14 27 5
25 15 12
30 15 17
15 17 17
15 24 3
27 16 7
17 23 16
17 27 1
18 25 10
18 34 17
18 31 1
19 22 1
21 19 19
22 20 11
20 29 16
34 20 10
22 21 7
21 31 9
26 22 4
22 34 2
22 28 15
27 22 9
23 30 13
26 23 7
31 23 2
24 26 18
24 32 6
30 25 1
26 25 9
26 27 11
27 33 6
34 31 15
3 0
