37 110
22 0 19
8 0 9
0 27 12
0 29 16
22 1 20
27 1 4
19 2 10
2 36 5
35 2 10
9 2 19
2 18 15
15 2 18
3 34 19
3 8 1
3 20 13
3 30 1
10 3 9
32 3 11
4 19 15
23 4 7
4 14 2
4 5 1
27 4 8
4 35 6
4 31 9
4 28 10
4 18 8
4 13 5
5 22 18
5 16 20
5 29 9
5 21 8
5 35 15
5 31 12
13 5 9
6 29 16
7 34 4
19 7 13
7 22 20
23 7 2
7 12 8
8 7 12
11 7 13
16 7 14
7 29 20
10 7 10
32 7 19
7 9 11
22 8 16
8 14 17
30 8 17
8 21 17
28 8 3
8 15 16
23 9 2
9 26 16
21 9 12
10 34 10
15 10 10
10 13 5
11 34 11
22 11 9
14 11 6
11 16 11
11 27 14
11 29 3
12 16 12
12 13 9
13 34 1
13 27 12
17 13 20
34 14 7
15 21 16
15 28 10
15 18 19
16 33 16
17 16 8
17 19 16
17 20 6
17 25 2
17 32 20
18 19 4
18 22 7
21 18 10
19 22 7
19 30 4
19 21 4
20 34 16
20 33 16
23 20 19
20 30 4
32 20 1
21 33 6
21 30 1
36 21 17
21 32 11
21 31 14
25 22 11
22 31 8
23 35 6
25 24 14
25 34 17
26 34 7
26 27 13
26 31 19
33 28 20
29 33 6
32 34 14
33 32 14
32 35 15
6 24
