32 122
0 26 5
18 0 16
0 31 20
0 13 18
1 12 14
5 1 3
1 2 8
19 1 7
1 20 2
1 28 7
10 1 8
7 1 11
2 4 18
2 5 8
2 18 1
30 2 2
2 21 9
2 25 6
2 24 17
3 6 9
18 3 14
23 3 6
14 3 11
30 3 3
21 3 1
3 11 4
13 3 1
15 4 1
27 4 11
4 31 14
29 4 3
8 4 11
20 4 5
4 11 6
4 13 18
10 4 2
7 4 2
5 12 13
31 5 16
23 5 19
30 5 16
21 5 11
22 5 3
5 19 11
5 8 9
20 5 9
5 24 16
6 12 4
6 15 14
31 6 15
29 6 9
6 30 4
21 6 12
6 22 10
17 6 1
6 8 18
11 6 5
6 25 15
28 6 3
7 6 11
23 7 4
21 7 5
17 7 17
7 19 1
11 7 14
26 8 11
29 8 17
8 21 3
22 8 10
8 17 15
20 8 17
8 10 1
15 9 2
17 9 12
10 15 8
27 10 18
17 10 11
20 10 16
11 10 12
10 16 8
11 15 19
27 11 3
11 31 4
28 11 12
31 12 11
14 12 15
13 31 1
22 13 16
20 13 8
14 27 12
18 14 18
29 14 4
23 14 17
21 14 1
14 19 20
16 14 20
15 26 16
18 15 5
16 26 14
23 16 5
21 17 6
24 17 20
18 27 18
31 18 6
30 18 2
21 18 19
18 22 12
25 18 7
18 28 18
19 31 8
19 29 17
24 20 6
21 29 5
21 28 11
21 24 10
25 23 12
23 28 12
25 31 3
30 26 3
30 27 5
29 31 4
29 30 17
29 7
