31 84
0 2 19
0 23 2
0 13 4
0 16 15
20 0 15
0 28 8
6 0 4
1 26 17
27 1 11
1 25 20
1 22 17
11 1 20
12 1 16
14 2 7
2 19 14
2 22 9
2 28 9
15 3 7
3 17 3
27 3 9
28 3 14
3 12 11
4 21 8
17 4 6
4 26 6
27 4 17
9 4 13
25 4 6
4 19 6
22 4 14
24 4 1
4 29 9
5 21 15
5 15 12
23 5 20
5 7 5
14 5 10
24 5 18
5 18 7
6 9 9
20 6 4
24 6 13
6 28 14
30 6 18
12 6 11
7 27 11
7 9 20
7 14 6
7 28 17
8 15 17
9 21 6
20 9 8
18 9 15
15 10 19
17 10 6
13 10 1
10 11 9
12 10 8
14 11 20
20 11 7
11 28 5
11 12 10
17 12 14
22 13 4
14 21 14
19 14 16
14 30 16
18 15 1
30 16 9
16 29 19
26 17 8
17 30 20
29 17 5
19 18 5
19 20 10
19 28 20
30 19 17
26 21 15
25 21 8
22 26 13
24 28 10
27 26 19
30 28 15
29 28 15
16 8
