36 119
34 0 17
33 0 15
0 26 14
0 10 7
1 17 7
20 1 3
1 11 11
29 1 14
1 19 7
1 23 3
1 32 10
1 10 12
2 14 14
2 34 9
17 2 13
20 2 12
25 2 6
2 35 12
2 7 4
4 2 20
3 12 17
25 3 4
19 3 10
7 3 7
21 3 16
13 3 2
4 8 16
4 16 13
29 4 7
4 33 7
26 4 11
4 22 10
5 18 17
29 5 19
12 6 6
6 17 20
6 16 10
35 6 9
26 6 7
23 6 5
13 6 20
6 22 4
11 7 17
7 29 17
23 7 19
8 18 20
8 28 14
8 32 13
13 8 7
34 9 2
16 9 18
9 25 11
23 9 12
21 9 7
9 32 15
9 22 10
35 10 6
33 10 6
10 28 15
10 13 16
11 27 17
19 11 16
12 27 3
17 12 19
12 25 10
19 12 16
12 15 7
12 21 2
32 12 1
13 16 13
13 31 7
29 13 11
33 13 6
28 13 6
14 17 8
20 14 20
35 14 18
29 14 19
14 24 5
14 28 1
15 14 1
26 14 14
15 17 10
33 15 3
31 16 13
25 16 15
16 23 14
17 18 1
17 25 14
24 17 13
19 17 11
17 23 11
32 17 16
18 19 18
23 18 10
19 34 4
20 19 19
19 29 5
20 27 10
25 20 6
24 20 19
20 30 17
21 30 7
22 33 17
28 22 14
30 22 2
34 24 7
24 31 5
25 24 13
33 24 4
34 25 6
32 25 15
30 26 6
27 31 9
35 27 2
28 33 9
31 29 4
31 30 5
30 33 13
27 0
