35 108
28 0 4
0 6 19
22 0 17
33 0 16
19 0 8
0 27 9
0 7 9
31 0 4
1 16 19
1 15 13
5 1 15
17 2 14
16 2 13
23 2 6
2 32 9
3 2 1
24 2 7
2 5 10
2 34 12
3 21 3
6 3 19
15 3 19
19 3 4
3 29 14
3 27 18
3 7 4
16 4 5
4 15 17
25 4 5
4 24 10
5 4 4
27 4 10
12 4 10
34 4 9
8 5 3
5 19 7
5 29 4
5 12 12
5 20 14
6 17 14
6 15 19
19 6 16
14 6 16
6 24 16
6 27 6
18 6 9
10 7 7
7 15 1
7 13 3
33 8 8
19 8 5
8 13 15
27 8 1
8 34 18
9 11 14
21 10 13
14 10 18
10 26 12
10 20 6
11 23 2
12 16 16
28 12 17
12 29 11
12 31 2
13 28 19
14 13 14
17 14 5
14 16 8
14 32 20
14 22 2
25 14 13
14 31 14
15 21 15
15 22 11
29 15 19
15 27 14
34 15 1
30 16 3
28 16 17
16 22 8
29 16 5
16 27 14
18 16 2
32 17 14
29 17 20
18 30 5
24 18 15
19 21 4
26 19 6
19 31 6
26 20 15
26 21 18
21 34 9
31 21 16
30 22 1
22 33 14
23 30 16
24 32 4
26 24 9
34 24 19
32 25 20
33 25 8
26 30 19
26 34 13
27 34 3
28 33 8
30 32 18
32 31 1
13 9
