38 138
13 0 17
12 0 14
0 34 20
0 20 1
32 0 9
0 1 4
0 4 13
1 7 2
35 1 2
9 1 6
19 1 16
24 1 13
1 8 10
1 26 15
1 4 7
2 11 9
2 21 11
2 17 12
12 2 6
2 6 13
2 28 15
2 23 18
2 32 1
3 36 8
13 3 13
3 33 14
3 31 6
3 35 20
19 3 12
3 15 4
21 4 12
13 4 10
33 4 6
19 4 10
24 4 15
5 37 4
5 9 16
5 20 13
8 5 11
5 26 3
16 5 2
33 6 1
6 12 3
37 6 4
20 6 19
6 30 15
21 7 6
7 12 19
31 7 11
23 7 17
7 19 15
27 7 14
36 8 18
33 8 3
8 31 14
28 8 15
20 8 12
15 8 9
30 8 12
20 9 3
19 9 17
37 10 14
10 35 2
10 16 14
30 10 12
11 17 9
14 11 5
37 11 7
19 11 3
33 12 8
12 31 7
29 13 3
13 31 15
13 24 7
22 13 8
16 13 15
23 14 4
19 14 19
14 24 7
14 26 16
16 14 16
17 15 5
31 15 14
15 25 16
15 35 13
32 15 19
22 15 8
17 25 20
17 28 18
34 17 2
20 17 5
18 33 2
31 18 15
37 18 6
18 35 7
18 20 6
18 32 13
18 30 10
19 21 15
19 28 15
20 19 5
27 19 19
19 32 14
19 22 14
37 20 11
20 35 16
32 20 7
21 31 13
25 21 6
23 21 12
26 21 6
22 36 19
22 31 14
22 28 2
22 37 17
34 22 20
23 27 6
24 25 3
24 28 10
24 27 15
30 24 11
25 29 20
28 25 2
25 27 5
26 25 11
26 29 1
26 30 6
28 33 15
31 28 11
28 35 16
28 30 18
29 31 13
35 29 1
29 32 7
31 30 2
37 30 2
33 34 9
34 37 18
37 8
